times,Barometric_Pressure,Units
9/1/2015 11:30,29.3,atm
9/1/2015 11:40,29.3,atm
9/1/2015 11:50,29.3,atm
9/1/2015 12:00,29.3,atm
9/1/2015 12:10,29.3,atm
9/1/2015 12:20,29.3,atm
9/1/2015 12:30,29.3,atm
9/1/2015 12:40,29.3,atm
9/1/2015 12:50,29.3,atm
9/1/2015 13:00,29.3,atm
9/1/2015 13:10,29.3,atm
9/1/2015 13:20,29.3,atm
9/1/2015 13:30,29.3,atm
9/1/2015 13:40,29.3,atm
9/1/2015 13:50,29.3,atm
9/1/2015 14:00,29.3,atm
9/1/2015 14:10,29.3,atm
9/1/2015 14:20,29.3,atm
9/1/2015 14:30,29.3,atm
9/1/2015 14:40,29.3,atm
9/1/2015 14:50,29.3,atm
9/1/2015 15:00,29.3,atm
9/1/2015 15:10,29.3,atm
9/1/2015 15:20,29.3,atm
9/1/2015 15:30,29.3,atm
9/1/2015 15:40,29.3,atm
9/1/2015 15:50,29.3,atm
9/1/2015 16:00,29.3,atm
9/1/2015 16:10,29.3,atm
9/1/2015 16:20,29.3,atm
9/1/2015 16:30,29.3,atm
9/1/2015 16:40,29.3,atm
9/1/2015 16:50,29.3,atm
9/1/2015 17:00,29.3,atm
9/1/2015 17:10,29.3,atm
9/1/2015 17:20,29.3,atm
9/1/2015 17:30,29.3,atm
9/1/2015 17:40,29.3,atm
9/1/2015 17:50,29.3,atm
9/1/2015 18:00,29.3,atm
9/1/2015 18:10,29.3,atm
9/1/2015 18:20,29.3,atm
9/1/2015 18:30,29.3,atm
9/1/2015 18:40,29.3,atm
9/1/2015 18:50,29.3,atm
9/1/2015 19:00,29.3,atm
9/1/2015 19:10,29.3,atm
9/1/2015 19:20,29.3,atm
9/1/2015 19:30,29.3,atm
9/1/2015 19:40,29.3,atm
9/1/2015 19:50,29.3,atm
9/1/2015 20:00,29.3,atm
9/1/2015 20:10,29.3,atm
9/1/2015 20:20,29.3,atm
9/1/2015 20:30,29.3,atm
9/1/2015 20:40,29.3,atm
9/1/2015 20:50,29.3,atm
9/1/2015 21:00,29.3,atm
9/1/2015 21:10,29.3,atm
9/1/2015 21:20,29.3,atm
9/1/2015 21:30,29.3,atm
9/1/2015 21:40,29.2,atm
9/1/2015 21:50,29.2,atm
9/1/2015 22:00,29.2,atm
9/1/2015 22:10,29.2,atm
9/1/2015 22:20,29.2,atm
9/1/2015 22:30,29.2,atm
9/1/2015 22:40,29.2,atm
9/1/2015 22:50,29.2,atm
9/1/2015 23:00,29.2,atm
9/1/2015 23:10,29.2,atm
9/1/2015 23:20,29.2,atm
9/1/2015 23:30,29.2,atm
9/1/2015 23:40,29.2,atm
9/1/2015 23:50,29.2,atm
9/2/2015 0:00,29.2,atm
9/2/2015 0:10,29.2,atm
9/2/2015 0:20,29.2,atm
9/2/2015 0:30,29.2,atm
9/2/2015 0:40,29.3,atm
9/2/2015 0:50,29.3,atm
9/2/2015 1:00,29.3,atm
9/2/2015 1:10,29.3,atm
9/2/2015 1:20,29.3,atm
9/2/2015 1:30,29.3,atm
9/2/2015 1:40,29.3,atm
9/2/2015 1:50,29.3,atm
9/2/2015 2:00,29.3,atm
9/2/2015 2:10,29.3,atm
9/2/2015 2:20,29.3,atm
9/2/2015 2:30,29.3,atm
9/2/2015 2:40,29.3,atm
9/2/2015 2:50,29.3,atm
9/2/2015 3:00,29.3,atm
9/2/2015 3:10,29.3,atm
9/2/2015 3:20,29.3,atm
9/2/2015 3:30,29.3,atm
9/2/2015 3:40,29.3,atm
9/2/2015 3:50,29.3,atm
9/2/2015 4:00,29.3,atm
9/2/2015 4:10,29.3,atm
9/2/2015 4:20,29.3,atm
9/2/2015 4:30,29.3,atm
9/2/2015 4:40,29.3,atm
9/2/2015 4:50,29.3,atm
9/2/2015 5:00,29.3,atm
9/2/2015 5:10,29.3,atm
9/2/2015 5:20,29.3,atm
9/2/2015 5:30,29.3,atm
9/2/2015 5:40,29.3,atm
9/2/2015 5:50,29.3,atm
9/2/2015 6:00,29.3,atm
9/2/2015 6:10,29.2,atm
9/2/2015 6:20,29.2,atm
9/2/2015 6:30,29.2,atm
9/2/2015 6:40,29.2,atm
9/2/2015 6:50,29.2,atm
9/2/2015 7:00,29.2,atm
9/2/2015 7:10,29.2,atm
9/2/2015 7:20,29.2,atm
9/2/2015 7:30,29.2,atm
9/2/2015 7:40,29.2,atm
9/2/2015 7:50,29.2,atm
9/2/2015 8:00,29.2,atm
9/2/2015 8:10,29.2,atm
9/2/2015 8:20,29.2,atm
9/2/2015 8:30,29.2,atm
9/2/2015 8:40,29.2,atm
9/2/2015 8:50,29.2,atm
9/2/2015 9:00,29.2,atm
9/2/2015 9:10,29.2,atm
9/2/2015 9:20,29.2,atm
9/2/2015 9:30,29.2,atm
9/2/2015 9:40,29.2,atm
9/2/2015 9:50,29.2,atm
9/2/2015 10:00,29.2,atm
9/2/2015 10:10,29.2,atm
9/2/2015 10:20,29.2,atm
9/2/2015 10:30,29.2,atm
9/2/2015 10:40,29.2,atm
9/2/2015 10:50,29.2,atm
9/2/2015 11:00,29.2,atm
9/2/2015 11:10,29.2,atm
9/2/2015 11:20,29.2,atm
9/2/2015 11:30,29.2,atm
9/2/2015 11:40,29.2,atm
9/2/2015 11:50,29.3,atm
9/2/2015 12:00,29.3,atm
9/2/2015 12:10,29.3,atm
9/2/2015 12:20,29.3,atm
9/2/2015 12:30,29.3,atm
9/2/2015 12:40,29.3,atm
9/2/2015 12:50,29.3,atm
9/2/2015 13:00,29.2,atm
9/2/2015 13:10,29.3,atm
9/2/2015 13:20,29.3,atm
9/2/2015 13:30,29.2,atm
9/2/2015 13:40,29.3,atm
9/2/2015 13:50,29.3,atm
9/2/2015 14:00,29.3,atm
9/2/2015 14:10,29.3,atm
9/2/2015 14:20,29.3,atm
9/2/2015 14:30,29.3,atm
9/2/2015 14:40,29.3,atm
9/2/2015 14:50,29.3,atm
9/2/2015 15:00,29.3,atm
9/2/2015 15:10,29.3,atm
9/2/2015 15:20,29.3,atm
9/2/2015 15:30,29.2,atm
9/2/2015 15:40,29.2,atm
9/2/2015 15:50,29.2,atm
9/2/2015 16:00,29.2,atm
9/2/2015 16:10,29.2,atm
9/2/2015 16:20,29.2,atm
9/2/2015 16:30,29.2,atm
9/2/2015 16:40,29.2,atm
9/2/2015 16:50,29.2,atm
9/2/2015 17:00,29.2,atm
9/2/2015 17:10,29.2,atm
9/2/2015 17:20,29.2,atm
9/2/2015 17:30,29.2,atm
9/2/2015 17:40,29.2,atm
9/2/2015 17:50,29.2,atm
9/2/2015 18:00,29.2,atm
9/2/2015 18:10,29.2,atm
9/2/2015 18:20,29.2,atm
9/2/2015 18:30,29.2,atm
9/2/2015 18:40,29.2,atm
9/2/2015 18:50,29.2,atm
9/2/2015 19:00,29.2,atm
9/2/2015 19:10,29.2,atm
9/2/2015 19:20,29.2,atm
9/2/2015 19:30,29.2,atm
9/2/2015 19:40,29.2,atm
9/2/2015 19:50,29.2,atm
9/2/2015 20:00,29.2,atm
9/2/2015 20:10,29.2,atm
9/2/2015 20:20,29.2,atm
9/2/2015 20:30,29.2,atm
9/2/2015 20:40,29.2,atm
9/2/2015 20:50,29.2,atm
9/2/2015 21:00,29.2,atm
9/2/2015 21:10,29.2,atm
9/2/2015 21:20,29.2,atm
9/2/2015 21:30,29.2,atm
9/2/2015 21:40,29.2,atm
9/2/2015 21:50,29.2,atm
9/2/2015 22:00,29.2,atm
9/2/2015 22:10,29.2,atm
9/2/2015 22:20,29.2,atm
9/2/2015 22:30,29.1,atm
9/2/2015 22:40,29.1,atm
9/2/2015 22:50,29.1,atm
9/2/2015 23:00,29.1,atm
9/2/2015 23:10,29.1,atm
9/2/2015 23:20,29.1,atm
9/2/2015 23:30,29.1,atm
9/2/2015 23:40,29.1,atm
9/2/2015 23:50,29.1,atm
9/3/2015 0:00,29.1,atm
9/3/2015 0:10,29.2,atm
9/3/2015 0:20,29.2,atm
9/3/2015 0:30,29.2,atm
9/3/2015 0:40,29.2,atm
9/3/2015 0:50,29.2,atm
9/3/2015 1:00,29.2,atm
9/3/2015 1:10,29.2,atm
9/3/2015 1:20,29.2,atm
9/3/2015 1:30,29.2,atm
9/3/2015 1:40,29.2,atm
9/3/2015 1:50,29.2,atm
9/3/2015 2:00,29.2,atm
9/3/2015 2:10,29.2,atm
9/3/2015 2:20,29.2,atm
9/3/2015 2:30,29.2,atm
9/3/2015 2:40,29.2,atm
9/3/2015 2:50,29.2,atm
9/3/2015 3:00,29.2,atm
9/3/2015 3:10,29.2,atm
9/3/2015 3:20,29.2,atm
9/3/2015 3:30,29.2,atm
9/3/2015 3:40,29.2,atm
9/3/2015 3:50,29.1,atm
9/3/2015 4:00,29.2,atm
9/3/2015 4:10,29.2,atm
9/3/2015 4:20,29.1,atm
9/3/2015 4:30,29.1,atm
9/3/2015 4:40,29.1,atm
9/3/2015 4:50,29.1,atm
9/3/2015 5:00,29.1,atm
9/3/2015 5:10,29.1,atm
9/3/2015 5:20,29.1,atm
9/3/2015 5:30,29.1,atm
9/3/2015 5:40,29.1,atm
9/3/2015 5:50,29.1,atm
9/3/2015 6:00,29.1,atm
9/3/2015 6:10,29.1,atm
9/3/2015 6:20,29.1,atm
9/3/2015 6:30,29.1,atm
9/3/2015 6:40,29.1,atm
9/3/2015 6:50,29.1,atm
9/3/2015 7:00,29.1,atm
9/3/2015 7:10,29.1,atm
9/3/2015 7:20,29.1,atm
9/3/2015 7:30,29.1,atm
9/3/2015 7:40,29.1,atm
9/3/2015 7:50,29.1,atm
9/3/2015 8:00,29.1,atm
9/3/2015 8:10,29.1,atm
9/3/2015 8:20,29.1,atm
9/3/2015 8:30,29.1,atm
9/3/2015 8:40,29.1,atm
9/3/2015 8:50,29.1,atm
9/3/2015 9:00,29.1,atm
9/3/2015 9:10,29.1,atm
9/3/2015 9:20,29.1,atm
9/3/2015 9:30,29.1,atm
9/3/2015 9:40,29.1,atm
9/3/2015 9:50,29.1,atm
9/3/2015 10:00,29.1,atm
9/3/2015 10:10,29.1,atm
9/3/2015 10:20,29.1,atm
9/3/2015 10:30,29.1,atm
9/3/2015 10:40,29.1,atm
9/3/2015 10:50,29.1,atm
9/3/2015 11:00,29.1,atm
9/3/2015 11:10,29.1,atm
9/3/2015 11:20,29.1,atm
9/3/2015 11:30,29.1,atm
9/3/2015 11:40,29.1,atm
9/3/2015 11:50,29.1,atm
9/3/2015 12:00,29.2,atm
9/3/2015 12:10,29.2,atm
9/3/2015 12:20,29.1,atm
9/3/2015 12:30,29.2,atm
9/3/2015 12:40,29.2,atm
9/3/2015 12:50,29.2,atm
9/3/2015 13:00,29.1,atm
9/3/2015 13:10,29.1,atm
9/3/2015 13:20,29.2,atm
9/3/2015 13:30,29.2,atm
9/3/2015 13:40,29.2,atm
9/3/2015 13:50,29.2,atm
9/3/2015 14:00,29.2,atm
9/3/2015 14:10,29.2,atm
9/3/2015 14:20,29.2,atm
9/3/2015 14:30,29.2,atm
9/3/2015 14:40,29.2,atm
9/3/2015 14:50,29.2,atm
9/3/2015 15:00,29.2,atm
9/3/2015 15:10,29.2,atm
9/3/2015 15:20,29.2,atm
9/3/2015 15:30,29.2,atm
9/3/2015 15:40,29.2,atm
9/3/2015 15:50,29.2,atm
9/3/2015 16:00,29.2,atm
9/3/2015 16:10,29.2,atm
9/3/2015 16:20,29.2,atm
9/3/2015 16:30,29.2,atm
9/3/2015 16:40,29.1,atm
9/3/2015 16:50,29.1,atm
9/3/2015 17:00,29.1,atm
9/3/2015 17:10,29.1,atm
9/3/2015 17:20,29.1,atm
9/3/2015 17:30,29.1,atm
9/3/2015 17:40,29.1,atm
9/3/2015 17:50,29.1,atm
9/3/2015 18:00,29.1,atm
9/3/2015 18:10,29.1,atm
9/3/2015 18:20,29.1,atm
9/3/2015 18:30,29.1,atm
9/3/2015 18:40,29.1,atm
9/3/2015 18:50,29.1,atm
9/3/2015 19:00,29.1,atm
9/3/2015 19:10,29.1,atm
9/3/2015 19:20,29.1,atm
9/3/2015 19:30,29.1,atm
9/3/2015 19:40,29.1,atm
9/3/2015 19:50,29.1,atm
9/3/2015 20:00,29.1,atm
9/3/2015 20:10,29.1,atm
9/3/2015 20:20,29.1,atm
9/3/2015 20:30,29.1,atm
9/3/2015 20:40,29.1,atm
9/3/2015 20:50,29.1,atm
9/3/2015 21:00,29.1,atm
9/3/2015 21:10,29.1,atm
9/3/2015 21:20,29.1,atm
9/3/2015 21:30,29.1,atm
9/3/2015 21:40,29.1,atm
9/3/2015 21:50,29.1,atm
9/3/2015 22:00,29.1,atm
9/3/2015 22:10,29.1,atm
9/3/2015 22:20,29.1,atm
9/3/2015 22:30,29.1,atm
9/3/2015 22:40,29.1,atm
9/3/2015 22:50,29.1,atm
9/3/2015 23:00,29.1,atm
9/3/2015 23:10,29.1,atm
9/3/2015 23:20,29.1,atm
9/3/2015 23:30,29.1,atm
9/3/2015 23:40,29.1,atm
9/3/2015 23:50,29.1,atm
9/4/2015 0:00,29.1,atm
9/4/2015 0:10,29.1,atm
9/4/2015 0:20,29.1,atm
9/4/2015 0:30,29.1,atm
9/4/2015 0:40,29.1,atm
9/4/2015 0:50,29.1,atm
9/4/2015 1:00,29.1,atm
9/4/2015 1:10,29.1,atm
9/4/2015 1:20,29.1,atm
9/4/2015 1:30,29.1,atm
9/4/2015 1:40,29.1,atm
9/4/2015 1:50,29.1,atm
9/4/2015 2:00,29.1,atm
9/4/2015 2:10,29.1,atm
9/4/2015 2:20,29.1,atm
9/4/2015 2:30,29.1,atm
9/4/2015 2:40,29.1,atm
9/4/2015 2:50,29.1,atm
9/4/2015 3:00,29.1,atm
9/4/2015 3:10,29.1,atm
9/4/2015 3:20,29.1,atm
9/4/2015 3:30,29.1,atm
9/4/2015 3:40,29.1,atm
9/4/2015 3:50,29.1,atm
9/4/2015 4:00,29.1,atm
9/4/2015 4:10,29.1,atm
9/4/2015 4:20,29.2,atm
9/4/2015 4:30,29.2,atm
9/4/2015 4:40,29.2,atm
9/4/2015 4:50,29.2,atm
9/4/2015 5:00,29.2,atm
9/4/2015 5:10,29.2,atm
9/4/2015 5:20,29.2,atm
9/4/2015 5:30,29.2,atm
9/4/2015 5:40,29.2,atm
9/4/2015 5:50,29.2,atm
9/4/2015 6:00,29.2,atm
9/4/2015 6:10,29.2,atm
9/4/2015 6:20,29.2,atm
9/4/2015 6:30,29.2,atm
9/4/2015 6:40,29.2,atm
9/4/2015 6:50,29.2,atm
9/4/2015 7:00,29.2,atm
9/4/2015 7:10,29.2,atm
9/4/2015 7:20,29.2,atm
9/4/2015 7:30,29.2,atm
9/4/2015 7:40,29.2,atm
9/4/2015 7:50,29.2,atm
9/4/2015 8:00,29.2,atm
9/4/2015 8:10,29.2,atm
9/4/2015 8:20,29.2,atm
9/4/2015 8:30,29.2,atm
9/4/2015 8:40,29.2,atm
9/4/2015 8:50,29.2,atm
9/4/2015 9:00,29.2,atm
9/4/2015 9:10,29.2,atm
9/4/2015 9:20,29.2,atm
9/4/2015 9:30,29.2,atm
9/4/2015 9:40,29.2,atm
9/4/2015 9:50,29.2,atm
9/4/2015 10:00,29.2,atm
9/4/2015 10:10,29.2,atm
9/4/2015 10:20,29.2,atm
9/4/2015 10:30,29.2,atm
9/4/2015 10:40,29.2,atm
9/4/2015 10:50,29.2,atm
9/4/2015 11:00,29.2,atm
9/4/2015 11:10,29.2,atm
9/4/2015 11:20,29.2,atm
9/4/2015 11:30,29.2,atm
9/4/2015 11:40,29.2,atm
9/4/2015 11:50,29.2,atm
9/4/2015 12:00,29.2,atm
9/4/2015 12:10,29.2,atm
9/4/2015 12:20,29.2,atm
9/4/2015 12:30,29.2,atm
9/4/2015 12:40,29.2,atm
9/4/2015 12:50,29.2,atm
9/4/2015 13:00,29.2,atm
9/4/2015 13:10,29.2,atm
9/4/2015 13:20,29.2,atm
9/4/2015 13:30,29.2,atm
9/4/2015 13:40,29.2,atm
9/4/2015 13:50,29.2,atm
9/4/2015 14:00,29.2,atm
9/4/2015 14:10,29.2,atm
9/4/2015 14:20,29.2,atm
9/4/2015 14:30,29.2,atm
9/4/2015 14:40,29.2,atm
9/4/2015 14:50,29.2,atm
9/4/2015 15:00,29.2,atm
9/4/2015 15:10,29.2,atm
9/4/2015 15:20,29.2,atm
9/4/2015 15:30,29.2,atm
9/4/2015 15:40,29.2,atm
9/4/2015 15:50,29.2,atm
9/4/2015 16:00,29.2,atm
9/4/2015 16:10,29.2,atm
9/4/2015 16:20,29.2,atm
9/4/2015 16:30,29.2,atm
9/4/2015 16:40,29.2,atm
9/4/2015 16:50,29.2,atm
9/4/2015 17:00,29.2,atm
9/4/2015 17:10,29.2,atm
9/4/2015 17:20,29.2,atm
9/4/2015 17:30,29.2,atm
9/4/2015 17:40,29.2,atm
9/4/2015 17:50,29.2,atm
9/4/2015 18:00,29.2,atm
9/4/2015 18:10,29.3,atm
9/4/2015 18:20,29.3,atm
9/4/2015 18:30,29.3,atm
9/4/2015 18:40,29.3,atm
9/4/2015 18:50,29.3,atm
9/4/2015 19:00,29.2,atm
9/4/2015 19:10,29.2,atm
9/4/2015 19:20,29.2,atm
9/4/2015 19:30,29.2,atm
9/4/2015 19:40,29.2,atm
9/4/2015 19:50,29.2,atm
9/4/2015 20:00,29.2,atm
9/4/2015 20:10,29.2,atm
9/4/2015 20:20,29.2,atm
9/4/2015 20:30,29.2,atm
9/4/2015 20:40,29.2,atm
9/4/2015 20:50,29.2,atm
9/4/2015 21:00,29.2,atm
9/4/2015 21:10,29.2,atm
9/4/2015 21:20,29.2,atm
9/4/2015 21:30,29.2,atm
9/4/2015 21:40,29.2,atm
9/4/2015 21:50,29.2,atm
9/4/2015 22:00,29.2,atm
9/4/2015 22:10,29.2,atm
9/4/2015 22:20,29.2,atm
9/4/2015 22:30,29.2,atm
9/4/2015 22:40,29.3,atm
9/4/2015 22:50,29.3,atm
9/4/2015 23:00,29.3,atm
9/4/2015 23:10,29.3,atm
9/4/2015 23:20,29.3,atm
9/4/2015 23:30,29.3,atm
9/4/2015 23:40,29.3,atm
9/4/2015 23:50,29.3,atm
9/5/2015 0:00,29.3,atm
9/5/2015 0:10,29.3,atm
9/5/2015 0:20,29.3,atm
9/5/2015 0:30,29.3,atm
9/5/2015 0:40,29.3,atm
9/5/2015 0:50,29.3,atm
9/5/2015 1:00,29.3,atm
9/5/2015 1:10,29.3,atm
9/5/2015 1:20,29.3,atm
9/5/2015 1:30,29.3,atm
9/5/2015 1:40,29.3,atm
9/5/2015 1:50,29.3,atm
9/5/2015 2:00,29.3,atm
9/5/2015 2:10,29.3,atm
9/5/2015 2:20,29.3,atm
9/5/2015 2:30,29.3,atm
9/5/2015 2:40,29.3,atm
9/5/2015 2:50,29.3,atm
9/5/2015 3:00,29.3,atm
9/5/2015 3:10,29.3,atm
9/5/2015 3:20,29.3,atm
9/5/2015 3:30,29.3,atm
9/5/2015 3:40,29.3,atm
9/5/2015 3:50,29.3,atm
9/5/2015 4:00,29.3,atm
9/5/2015 4:10,29.3,atm
9/5/2015 4:20,29.3,atm
9/5/2015 4:30,29.3,atm
9/5/2015 4:40,29.3,atm
9/5/2015 4:50,29.3,atm
9/5/2015 5:00,29.3,atm
9/5/2015 5:10,29.3,atm
9/5/2015 5:20,29.3,atm
9/5/2015 5:30,29.3,atm
9/5/2015 5:40,29.3,atm
9/5/2015 5:50,29.3,atm
9/5/2015 6:00,29.3,atm
9/5/2015 6:10,29.3,atm
9/5/2015 6:20,29.3,atm
9/5/2015 6:30,29.3,atm
9/5/2015 6:40,29.3,atm
9/5/2015 6:50,29.3,atm
9/5/2015 7:00,29.3,atm
9/5/2015 7:10,29.3,atm
9/5/2015 7:20,29.3,atm
9/5/2015 7:30,29.3,atm
9/5/2015 7:40,29.3,atm
9/5/2015 7:50,29.3,atm
9/5/2015 8:00,29.3,atm
9/5/2015 8:10,29.3,atm
9/5/2015 8:20,29.3,atm
9/5/2015 8:30,29.3,atm
9/5/2015 8:40,29.3,atm
9/5/2015 8:50,29.3,atm
9/5/2015 9:00,29.3,atm
9/5/2015 9:10,29.3,atm
9/5/2015 9:20,29.3,atm
9/5/2015 9:30,29.3,atm
9/5/2015 9:40,29.3,atm
9/5/2015 9:50,29.3,atm
9/5/2015 10:00,29.3,atm
9/5/2015 10:10,29.3,atm
9/5/2015 10:20,29.3,atm
9/5/2015 10:30,29.3,atm
9/5/2015 10:40,29.3,atm
9/5/2015 10:50,29.3,atm
9/5/2015 11:00,29.3,atm
9/5/2015 11:10,29.3,atm
9/5/2015 11:20,29.3,atm
9/5/2015 11:30,29.3,atm
9/5/2015 11:40,29.3,atm
9/5/2015 11:50,29.3,atm
9/5/2015 12:00,29.3,atm
9/5/2015 12:10,29.3,atm
9/5/2015 12:20,29.3,atm
9/5/2015 12:30,29.3,atm
9/5/2015 12:40,29.3,atm
9/5/2015 12:50,29.3,atm
9/5/2015 13:00,29.3,atm
9/5/2015 13:10,29.4,atm
9/5/2015 13:20,29.4,atm
9/5/2015 13:30,29.4,atm
9/5/2015 13:40,29.3,atm
9/5/2015 13:50,29.3,atm
9/5/2015 14:00,29.4,atm
9/5/2015 14:10,29.4,atm
9/5/2015 14:20,29.4,atm
9/5/2015 14:30,29.4,atm
9/5/2015 14:40,29.4,atm
9/5/2015 14:50,29.4,atm
9/5/2015 15:00,29.3,atm
9/5/2015 15:10,29.3,atm
9/5/2015 15:20,29.4,atm
9/5/2015 15:30,29.4,atm
9/5/2015 15:40,29.4,atm
9/5/2015 15:50,29.4,atm
9/5/2015 16:00,29.4,atm
9/5/2015 16:10,29.4,atm
9/5/2015 16:20,29.3,atm
9/5/2015 16:30,29.3,atm
9/5/2015 16:40,29.3,atm
9/5/2015 16:50,29.3,atm
9/5/2015 17:00,29.3,atm
9/5/2015 17:10,29.3,atm
9/5/2015 17:20,29.3,atm
9/5/2015 17:30,29.3,atm
9/5/2015 17:40,29.3,atm
9/5/2015 17:50,29.3,atm
9/5/2015 18:00,29.3,atm
9/5/2015 18:10,29.3,atm
9/5/2015 18:20,29.3,atm
9/5/2015 18:30,29.3,atm
9/5/2015 18:40,29.3,atm
9/5/2015 18:50,29.3,atm
9/5/2015 19:00,29.3,atm
9/5/2015 19:10,29.3,atm
9/5/2015 19:20,29.3,atm
9/5/2015 19:30,29.3,atm
9/5/2015 19:40,29.3,atm
9/5/2015 19:50,29.3,atm
9/5/2015 20:00,29.3,atm
9/5/2015 20:10,29.3,atm
9/5/2015 20:20,29.3,atm
9/5/2015 20:30,29.3,atm
9/5/2015 20:40,29.3,atm
9/5/2015 20:50,29.3,atm
9/5/2015 21:00,29.3,atm
9/5/2015 21:10,29.3,atm
9/5/2015 21:20,29.3,atm
9/5/2015 21:30,29.3,atm
9/5/2015 21:40,29.3,atm
9/5/2015 21:50,29.3,atm
9/5/2015 22:00,29.3,atm
9/5/2015 22:10,29.3,atm
9/5/2015 22:20,29.3,atm
9/5/2015 22:30,29.3,atm
9/5/2015 22:40,29.3,atm
9/5/2015 22:50,29.3,atm
9/5/2015 23:00,29.3,atm
9/5/2015 23:10,29.3,atm
9/5/2015 23:20,29.3,atm
9/5/2015 23:30,29.3,atm
9/5/2015 23:40,29.3,atm
9/5/2015 23:50,29.3,atm
9/6/2015 0:00,29.3,atm
9/6/2015 0:10,29.3,atm
9/6/2015 0:20,29.3,atm
9/6/2015 0:30,29.3,atm
9/6/2015 0:40,29.3,atm
9/6/2015 0:50,29.3,atm
9/6/2015 1:00,29.3,atm
9/6/2015 1:10,29.3,atm
9/6/2015 1:20,29.3,atm
9/6/2015 1:30,29.3,atm
9/6/2015 1:40,29.3,atm
9/6/2015 1:50,29.3,atm
9/6/2015 2:00,29.3,atm
9/6/2015 2:10,29.3,atm
9/6/2015 2:20,29.3,atm
9/6/2015 2:30,29.3,atm
9/6/2015 2:40,29.3,atm
9/6/2015 2:50,29.3,atm
9/6/2015 3:00,29.3,atm
9/6/2015 3:10,29.3,atm
9/6/2015 3:20,29.3,atm
9/6/2015 3:30,29.3,atm
9/6/2015 3:40,29.3,atm
9/6/2015 3:50,29.3,atm
9/6/2015 4:00,29.3,atm
9/6/2015 4:10,29.3,atm
9/6/2015 4:20,29.3,atm
9/6/2015 4:30,29.3,atm
9/6/2015 4:40,29.3,atm
9/6/2015 4:50,29.3,atm
9/6/2015 5:00,29.3,atm
9/6/2015 5:10,29.3,atm
9/6/2015 5:20,29.3,atm
9/6/2015 5:30,29.3,atm
9/6/2015 5:40,29.3,atm
9/6/2015 5:50,29.3,atm
9/6/2015 6:00,29.3,atm
9/6/2015 6:10,29.3,atm
9/6/2015 6:20,29.3,atm
9/6/2015 6:30,29.3,atm
9/6/2015 6:40,29.3,atm
9/6/2015 6:50,29.3,atm
9/6/2015 7:00,29.3,atm
9/6/2015 7:10,29.3,atm
9/6/2015 7:20,29.3,atm
9/6/2015 7:30,29.3,atm
9/6/2015 7:40,29.3,atm
9/6/2015 7:50,29.3,atm
9/6/2015 8:00,29.3,atm
9/6/2015 8:10,29.3,atm
9/6/2015 8:20,29.3,atm
9/6/2015 8:30,29.3,atm
9/6/2015 8:40,29.3,atm
9/6/2015 8:50,29.3,atm
9/6/2015 9:00,29.3,atm
9/6/2015 9:10,29.3,atm
9/6/2015 9:20,29.3,atm
